epoch,loss,running_cost,terminal_cost,cHJB,cHJBfin,cadj,cadjfin,time_per_epoch,grad_norm,lr,max_fp_itrs,max_fp_res_norm,memory_MB,max_memory_MB,gpu_memory_MB,gpu_max_memory_MB,work_units,max_grad_H,avg_grad_H,smallest_M_sdval,largest_M_sdval,smallest_lambda_min,largest_lambda_max,max_grad_T_u,avg_grad_T_u,sd_grad_T_u,angle,lin_residual,exploration_std
66,10.7326200902462,0.1737883985042572,2.1117663383483887,0.0,0.0,0.0,0.0,2.1511192321777344,0.02058025332532578,0.001,23,9.012222290039062e-05,82.296875,82.296875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0016204622061923146,0.2601702613251532
67,10.730513498187065,0.1734723299741745,2.111408233642578,0.0,0.0,0.0,0.0,2.1189467906951904,0.020175760669110213,0.001,23,9.632110595703125e-05,87.75,87.75,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0015622792730573564,0.25756855871190165
68,10.728487983345985,0.17299415171146393,2.1110987663269043,0.0,0.0,0.0,0.0,2.138366937637329,0.019769849646943914,0.001,24,6.389617919921875e-05,86.9375,86.9375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.001659858264029026,0.25499287312478264
69,10.726593375205994,0.1725085973739624,2.1108169555664062,0.0,0.0,0.0,0.0,2.124333143234253,0.01937925417293653,0.001,24,7.534027099609375e-05,83.890625,83.890625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0016113475896418095,0.2524429443935348
70,10.724847063422203,0.17197225987911224,2.110574960708618,0.0,0.0,0.0,0.0,2.162933111190796,0.019033395946510056,0.001,24,8.344650268554688e-05,94.53125,94.53125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0015105871798004955,0.24991851494959946
71,10.723160669207573,0.17133848369121552,2.1103644371032715,0.0,0.0,0.0,0.0,2.167609930038452,0.01870181818627469,0.001,24,9.107589721679688e-05,61.96875,61.96875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0015395462419837713,0.24741932980010348
72,10.721521645784378,0.1705625355243683,2.110191822052002,0.0,0.0,0.0,0.0,2.134993314743042,0.01841684315371018,0.001,25,5.9604644775390625e-05,83.84375,83.84375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0015034924866631626,0.24494513650210245
73,10.719866946339607,0.16991634666919708,2.109990119934082,0.0,0.0,0.0,0.0,2.134159803390503,0.018167063334759963,0.001,25,7.009506225585938e-05,93.3125,93.3125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0014671292144339532,0.24249568513708142
74,10.718314781785011,0.1693667322397232,2.1097896099090576,0.0,0.0,0.0,0.0,2.122594118118286,0.017966347792614572,0.001,25,7.677078247070312e-05,91.875,91.875,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0014766643871553242,0.2400707282857106
75,10.716778934001923,0.1689550280570984,2.109564781188965,0.0,0.0,0.0,0.0,2.1423213481903076,0.017800540327345835,0.001,25,8.0108642578125e-05,67.078125,67.078125,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013989917153958231,0.2376700210028535
76,10.715215057134628,0.1685546338558197,2.1093320846557617,0.0,0.0,0.0,0.0,2.339056968688965,0.017651074806932288,0.001,25,8.916854858398438e-05,67.0625,67.0625,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013858668110333383,0.23529332079282497
77,10.713676929473877,0.16818833351135254,2.109097719192505,0.0,0.0,0.0,0.0,2.5364248752593994,0.017494836924597253,0.001,25,9.918212890625e-05,60.59375,60.59375,0.0,0.0,160,0.0,0.0,0,0,0,0,0,0,0,0,0.0013952443702146412,0.2329403875848967
